#翻译
dailySheetName	国服日报
dailyExcelBase	D:/sever/apache-tomcat-6.0.16.other/webapps/stat_common_mieshi/excel/daily
杏花村	杏花村
屠苏酒	屠苏酒
妙沁药酒	妙沁药酒
屠魔帖●降魔	屠魔帖●降魔
屠魔帖●逍遥屠	屠魔帖●逍遥屠
屠魔帖●霸者屠	屠魔帖●霸者屠
屠魔帖●朱雀屠	屠魔帖●朱雀屠
屠魔帖●水晶屠	屠魔帖●水晶屠
屠魔帖●倚天屠	屠魔帖●倚天屠
屠魔帖●青虹屠	屠魔帖●青虹屠
屠魔帖●赤霄屠	屠魔帖●赤霄屠
屠魔帖●震天屠	屠魔帖●震天屠
屠魔帖●天罡屠	屠魔帖●天罡屠

任务	任务
怪物掉落拾取	怪物掉落拾取
合成获得	合成获得
礼包获得	礼包获得
祈福获得	祈福获得
开瓶子获得	开瓶子获得
商店购买	商店购买
宠物繁殖获得	宠物繁殖获得
职业礼包获得	职业礼包获得
结婚坐骑	结婚坐骑
运镖	运镖
参加家族运镖获取	参加家族运镖获取
宠物封印获得宠物蛋	宠物封印获得宠物蛋

使用持续性道具	使用持续性道具
商店出售删除	商店出售删除
强化删除	强化删除
开瓶子删除	开瓶子删除
使用道具删除	使用道具删除
丢弃	丢弃
合成删除	合成删除
铭刻删除	铭刻删除
鉴定删除	鉴定删除
死亡掉落	死亡掉落
到期删除 	到期删除 
宠物封印删除宠物	宠物封印删除宠物


快速出售	快速出售
摆摊出售	摆摊出售
购买拍卖成功	购买拍卖成功
放入拍卖	放入拍卖
开瓶子获得	开瓶子获得
职业礼包获得	职业礼包获得
提取邮件，家族	提取邮件，家族
商店购买	商店购买
任务	任务
礼包获得	礼包获得
开瓶子获得	开瓶子获得
合成获得	合成获得
怪物掉落拾取	怪物掉落拾取
使用持续性道具	使用持续性道具
商店出售删除	商店出售删除
合成删除	合成删除
丢弃	丢弃
到期删除	到期删除
死亡掉落	死亡掉落

get	任务','怪物掉落拾取','合成获得','礼包获得','祈福获得','开瓶子获得','商店购买','宠物繁殖获得','职业礼包获得','结婚坐骑','运镖','参加家族运镖获取','宠物封印获得宠物蛋
