#翻译
dailySheetName	韩国日报
dailyExcelBase	/home/wxstat/statserver/daily
屠魔帖●降魔	도마첩●강마	
屠魔帖●逍遥	도마첩●소요	
屠魔帖●霸者	도마첩●패자	
屠魔帖●朱雀	도마첩●주작	
屠魔帖●水晶	도마첩●수정	
屠魔帖●倚天	도마첩●의천	
屠魔帖●青虹	도마첩●청홍	
屠魔帖●赤霄	도마첩●적소	
屠魔帖●震天	도마첩●진천	
屠魔帖●天罡	도마첩●천강	
杏花村	행화촌	
屠苏酒	도소주	
妙沁药酒	묘심약주	

任务	任务	
怪物掉落拾取	怪物掉落拾取
合成获得	合成获得
礼包获得	礼包获得
祈福获得	祈福获得
开瓶子获得	开瓶子获得
商店购买	商店购买
宠物繁殖获得	宠物繁殖获得
职业礼包获得	职业礼包获得
结婚坐骑	结婚坐骑
运镖	运镖
参加家族运镖获取	参加家族运镖获取
宠物封印获得宠物蛋	宠物封印获得宠物蛋

使用持续性道具	使用持续性道具
商店出售删除	商店出售删除
强化删除	强化删除
开瓶子删除	开瓶子删除
使用道具删除	使用道具删除
丢弃	丢弃
合成删除	合成删除
铭刻删除	铭刻删除
鉴定删除	鉴定删除
死亡掉落	死亡掉落
到期删除 	到期删除 
宠物封印删除宠物	宠物封印删除宠物


快速出售	快速出售
摆摊出售	摆摊出售
购买拍卖成功	购买拍卖成功
放入拍卖	放入拍卖
开瓶子获得	开瓶子获得
职业礼包获得	职业礼包获得
提取邮件，家族	提取邮件，家族
商店购买	商店购买
任务	任务
礼包获得	礼包获得
开瓶子获得	开瓶子获得
合成获得	合成获得
怪物掉落拾取	怪物掉落拾取
使用持续性道具	使用持续性道具
商店出售删除	商店出售删除
合成删除	合成删除
丢弃	丢弃
到期删除	到期删除
死亡掉落	死亡掉落

get	任务','怪物掉落拾取','合成获得','礼包获得','祈福获得','开瓶子获得','商店购买','宠物繁殖获得','职业礼包获得','结婚坐骑','运镖','参加家族运镖获取','宠物封印获得宠物蛋
lost	使用持续性道具','商店出售删除','强化删除','开瓶子删除','使用道具删除','丢弃','合成删除','铭刻删除','鉴定删除','死亡掉落','到期删除 ','宠物封印删除宠物
xiaoHaoLOST	发送邮件删除','合成删除','鉴定删除','铭刻删除','强化删除','商店出售删除','死亡掉落
colorDaoJu	도마첩●강마','도마첩●소요','도마첩●패자','도마첩●주작','도마첩●수정','도마첩●의천','도마첩●청홍','도마첩●적소','도마첩●진천','도마첩●천강','행화촌','도소주','묘심약주

